"Madrid, El Goloso"
Actualizado: jueves, 27 febrero 2020 a las 13:42 hora oficial

"Fecha y hora oficial","Temperatura (ºC)","Velocidad del viento (km/h)","Dirección del viento","Racha (km/h)","Dirección de racha","Precipitación (mm)","Presión (hPa)","Tendencia (hPa)","Humedad (%)"
"27/02/2020 13:00","","","","","","","","",""
"27/02/2020 12:00","","","","","","","","",""
"27/02/2020 11:00","","","","","","","","",""
"27/02/2020 10:00","9.4","11","Oeste","26","Noroeste","0.0","","","66"
"27/02/2020 09:00","7.3","13","Oeste","27","Oeste","0.0","","","77"
"27/02/2020 08:00","6.4","6","Oeste","20","Oeste","0.0","","","80"
"27/02/2020 07:00","4.6","0","Calma","9","Sudoeste","0.0","","","78"
"27/02/2020 06:00","4.2","2","Sudoeste","7","Sudoeste","0.0","","","79"
"27/02/2020 05:00","4.3","0","Calma","6","Sudoeste","0.0","","","77"
"27/02/2020 04:00","5.9","3","Oeste","10","Oeste","0.0","","","73"
"27/02/2020 03:00","6.6","4","Oeste","12","Sudoeste","0.0","","","71"
"27/02/2020 02:00","6.3","5","Oeste","14","Noroeste","0.0","","","71"
"27/02/2020 01:00","6.3","3","Oeste","12","Noroeste","0.0","","","69"
"27/02/2020 00:00","7.1","4","Noroeste","10","Oeste","0.0","","","67"
"26/02/2020 23:00","8.2","5","Oeste","17","Noroeste","0.0","","","63"
"26/02/2020 22:00","8.2","5","Noroeste","14","Noroeste","0.0","","","62"
"26/02/2020 21:00","8.3","4","Oeste","19","Noroeste","0.0","","","58"
"26/02/2020 20:00","9.4","7","Noroeste","18","Noroeste","0.0","","","53"
"26/02/2020 19:00","10.9","10","Noroeste","24","Noroeste","0.0","","","47"
"26/02/2020 18:00","12.9","9","Noroeste","23","Oeste","0.0","","","41"
"26/02/2020 17:00","13.8","10","Oeste","23","Noroeste","0.0","","","39"
"26/02/2020 16:00","14.3","8","Sur","18","Sudoeste","0.0","","","35"
"26/02/2020 15:00","14.1","4","Sudoeste","12","Nordeste","0.0","","","34"
"26/02/2020 14:00","14.0","4","Noroeste","19","Noroeste","0.0","","","33"
