"Comunidad de Madrid"
Actualizado: jueves, 27 febrero 2020 a las 13:42 hora oficial
Fecha y hora: jueves, 27 febrero 2020 a las 13:00

"Estación","Provincia","Temperatura (ºC)","Velocidad del viento (km/h)","Dirección del viento","Racha (km/h)","Dirección de racha","Precipitación (mm)","Presión (hPa)","Tendencia (hPa)","Humedad (%)"
"Alcala de Henares","Madrid","15.6","16","Sudoeste","26","Sudoeste","0.0","","","49"
"Alpedrete","Madrid","12.9","19","Oeste","41","Oeste","0.0","","","49"
"Aranjuez","Madrid","14.4","10","Oeste","22","Oeste","0.0","","","48"
"Arganda del Rey","Madrid","","","","","","","","",""
"Buitrago del Lozoya","Madrid","13.0","13","Sudoeste","31","Oeste","0.0","907.8","0.3","41"
"Colmenar Viejo","Madrid","13.2","11","Noroeste","24","Noroeste","0.0","907.3","0.4","37"
"Madrid, Ciudad Universitaria","Madrid","16.5","","","36","Oeste","0.0","","","37"
"Madrid, El Goloso","Madrid","","","","","","","","",""
"Madrid, Retiro","Madrid","15.2","7","Sudoeste","29","Sudoeste","0.0","943.6","-0.3","39"
"Madrid Aeropuerto","Madrid","16.6","14","Oeste","24","Oeste","0.0","953.9","-0.5","37"
"Pozuelo de Alarcón","Madrid","16.3","","","","","0.0","","","38"
"Puerto Alto del León","Madrid","6.1","49","Noroeste","76","Oeste","0.0","850.6","0.9","45"
"Puerto de Navacerrada","Madrid","2.3","23","Norte","50","Norte","0.0","815.0","0.9","100"
"Rascafría","Madrid","","","","","","","","",""
"Robledo de Chavela","Madrid","15.0","17","Noroeste","38","Noroeste","0.0","934.0","-0.3","32"
"Rozas de Puerto Real","Madrid","","","","","","","","",""
"San Sebastián de Los Reyes","Madrid","","","","","","","","",""
"Somosierra","Madrid","8.8","11","Noroeste","33","Noroeste","","859.5","0.2",""
"Tielmes","Madrid","","","","","","","","",""
"Torrelodones","Madrid","13.7","14","Sudoeste","28","Sudoeste","0.0","","","41"
"Valdemorillo","Madrid","14.7","21","Noroeste","41","Noroeste","0.0","","","40"
"Villanueva de la Cañada","Madrid","15.9","19","Oeste","39","Oeste","0.0","947.4","0.0","36"
